feature,v_type,X_base,L_base,drift_type,shap_importance_main_model,cv_target,X_raw,X_coral,X_pca,X_drop,X_rec_coral,X_rec_pca,L_raw,L_coral,L_pca,L_drop,L_rec_coral,L_rec_pca
intraop_HCO3_min,continuous,0.9746760084558824,0.9474482889047462,CONCEPT_RELATIONAL,0.003238671916217247,,0.8894466296697504,-0.1979045349485058,-0.16095317099037243,0.08522937878613202,-200.0,-200.0,0.7946204695621388,-0.1948631406313388,6.312627073745691e-05,0.15282781934260736,-200.0,-200.0
postop_Phosphorus_intercept,continuous,0.5805808615315391,0.49759233734918173,STABLE,0.015931826745574043,,0.8304523899369683,0.518461332839821,0.07497252958047129,-0.24987152840542926,,,0.713420845099934,0.4756499020981342,0.07079687311933824,-0.21582850775075224,,
postop_Lact_avg,continuous,0.8801144550440825,0.8303216638949766,PARTIAL_RECOVERY,0.038728813923820125,,-1.0803005069296763,0.05942371060368412,-0.025385648621571777,1.9604149619737588,58.13688630420768,53.81079408035171,-1.705578836500543,0.05108342919308506,-0.0642107288929854,2.5359005003955195,69.2717346528243,64.72525666332558
intraop_pCO2_max,continuous,0.8866927855649712,0.9134879713551445,STABLE,0.025031947181166643,,0.899590985513057,0.5213509925657553,0.19648682404182705,-0.012898199948085831,,,0.9391199875416546,0.5058779791237562,-0.03394886797215113,-0.02563201618651012,,
postop_pO2_intercept,continuous,0.6670255013405815,0.6791446876159879,CONCEPT_RELATIONAL,0.002940316058775279,,-1.921133166650483,-2.2930054970645197,-2.4686792869398877,2.588158667991064,-14.368219963217522,-21.155817340766497,-1.6161859042989182,-2.1119064063639534,-2.4539235008067135,2.2953305919149063,-21.596910868140988,-36.49747010119806
postop_HCO3_avg,continuous,0.9703474711342089,0.8205415327837078,CONCEPT_RELATIONAL,0.006228310195059203,,0.2939625150510873,-1.6394460762170913,-1.6304421879917768,0.6763849560831217,-200.0,-200.0,-0.32538933497986977,-1.282070499984957,-1.2195308200437966,1.1459308677635776,-83.48506807152913,-78.02752419166018
intraop_K_q75,continuous,0.946325169377981,0.7232099650658366,STABLE,0.0024864645696740487,,0.9599526844515571,-0.32288256659022285,-0.2964476876883173,-0.01362751507357618,,,0.3235315550609148,-0.5155086262808204,-0.4565256255423491,0.39967841000492177,-200.0,-195.17120792030224
intraop_K_max,continuous,0.9293150586871438,0.6979511488432182,CONCEPT_RELATIONAL,0.0029349657853875726,,0.8608031993372794,0.23449440044135528,0.12250961701724083,0.06851185934986437,-200.0,-200.0,0.4680586047568599,-0.05211043089158718,-0.1098371664947595,0.22989254408635829,-200.0,-200.0
postop_Lact_intercept,continuous,0.8617995219424464,0.8218022441067163,CONCEPT_RELATIONAL,0.0025664721198797313,,0.023471349051645607,0.11566964661472912,-0.04103016498243939,0.8383281728908007,10.997876552944273,-7.694064940185048,0.03632152009222611,0.12129459840952106,-0.04948588569348211,0.7854807240144902,10.817971176047267,-10.92418988300027
intraop_MBP_mean,continuous,0.3425901588664513,0.24124889159953444,CONCEPT_RELATIONAL,0.021210956724122845,,-0.12394014013536747,-0.1753155224826115,-0.2463311437958695,0.46653029900181875,-11.012228457008266,-26.234309737731504,-0.10392523223086325,-0.23932674114679986,-0.09152662570465853,0.3451741238303977,-39.22701603856798,3.5919860934583894
